"text-xs","w-full href","rounded-lg src","max-w-[134px] href","text-sm","text-xs 3","text-lg","text-2xs","whitespace-pre-wrap","whitespace-pre-wrap 2","w-full href 2","rounded-lg src 2","max-w-[134px] href 2","text-sm 3","text-xs 6","text-lg 2","text-2xs 3","text-2xs 4","relative src 2","whitespace-pre-wrap 3","w-full href 3","rounded-lg src 3","max-w-[134px] href 3","text-sm 5","text-xs 8","text-lg 3","text-2xs 5","whitespace-pre-wrap 4","whitespace-pre-wrap 5","w-full href 4","rounded-lg src 4","max-w-[134px] href 4","text-sm 6","text-xs 9","text-lg 4","text-2xs 7","whitespace-pre-wrap 6"
"Ad","https://www.carrefouruae.com/mafuae/en/sea-foods/santa-bremor-blk-slmn-caviar-230g/p/1604048?list_name=sponsored_listing","https://cdn.mafrservices.com/sys-master-root/h3f/h6b/11362737192990/1604048_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/sea-foods/santa-bremor-blk-slmn-caviar-230g/p/1604048?list_name=sponsored_listing","Santa Bremor Sturgeon Caviar Stolnaya 230g","AED 60.39 per Kilo","13",".89","Only 3 left","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/sea-foods/santa-bremor-crab-sticks-snow-150g/p/1411839?list_name=sponsored_listing","https://cdn.mafrservices.com/sys-master-root/h02/he2/11354878640158/1411839_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/sea-foods/santa-bremor-crab-sticks-snow-150g/p/1411839?list_name=sponsored_listing","Santa Bremor Snow Crab Stick 150g","AED 87.93 per Kilo","13",".19","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/prime-turk-breast-smoked/p/150169","https://cdn.mafrservices.com/pim-content/UAE/media/product/150169/1762244948/150169_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/prime-turk-breast-smoked/p/150169","Prime Smoked Turkey Breast","250g - Approx 22 pieces/KG","21",".72","Only 3 left","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/arabella-smoked-turkey-breast/p/2148704","https://cdn.mafrservices.com/pim-content/UAE/media/product/2148704/1767854734/2148704_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/arabella-smoked-turkey-breast/p/2148704","Arabella Smoked Turkey Breast","250g - Approx 167 pieces/KG","17",".62","Only 3 left"
"32% OFF","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/nova-randa-roast-turkey-breast/p/1872328","https://cdn.mafrservices.com/pim-content/UAE/media/product/1872328/1771326874/1872328_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/nova-randa-roast-turkey-breast/p/1872328","Nova Randa Roasted Turkey Breast","150g - Approx 50 pieces/KG","12",".73","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/tulkarem-tur-smoked-breast-plain/p/1877108","https://cdn.mafrservices.com/sys-master-root/he6/hf4/44726442197022/1877108_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/tulkarem-tur-smoked-breast-plain/p/1877108","Tulkarem Roasted Turkey Breast","250g - Approx 22 pieces/KG","13",".75","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/olives/green-olive-palestinian/p/1358759","https://cdn.mafrservices.com/sys-master-root/h1d/h3c/52304530931742/1358759_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/olives/green-olive-palestinian/p/1358759","Green Palestinian Olives","200g - Approx 5 pieces/KG","6",".10","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/olives/olive-kalamata-pitted-greek/p/1261948","https://cdn.mafrservices.com/sys-master-root/h60/h3f/13625502203934/1261948_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/olives/olive-kalamata-pitted-greek/p/1261948","Olive Kalamtala Pitted Greek","250g - Approx 40 pieces/KG","10",".62",""
"30% OFF","https://www.carrefouruae.com/mafuae/en/other-meat-slices/perutnina-pepe-mini-frankf-100g/p/1282286?list_name=sponsored_listing","https://cdn.mafrservices.com/sys-master-root/h6c/hcb/47827972587550/1282286_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/turkey/crf-smoked-turkey-breast-200g/p/1350788","Carrefour Smoked Turkey Breast, 200g","AED 62.95 per Kilo","12",".59","Tod. 12:00 PM","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/sea-foods/santa-bremor-crab-sticks-200g/p/1411838?list_name=sponsored_listing","https://cdn.mafrservices.com/sys-master-root/h45/h9f/12659530235934/1411838_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/herbs-pulses/sidr-honey-1kg/p/2251989","Sidr Honey 1 Kg","AED 72.45 per Kilo","139",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","https://www.carrefouruae.com/mafuae/en/herbs-pulses/sidr-honey-1kg/p/2251989","https://cdn.mafrservices.com/pim-content/UAE/media/product/2251989/1755759604/2251989_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/sea-foods/santa-bremor-crab-sticks-200g/p/1411838?list_name=sponsored_listing","Santa Bremor Chilled Crab Sticks 200g","AED 76.90 per Kilo","14",".49","Tod. 12:00 PM","","https://www.carrefouruae.com/mafuae/en/turkey/crf-smoked-turkey-breast-200g/p/1350788","https://cdn.mafrservices.com/pim-content/UAE/media/product/1350788/1752202803/1350788_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/other-meat-slices/perutnina-pepe-mini-frankf-100g/p/1282286?list_name=sponsored_listing","Perutnina Ptuj Pepe Mini Chicken Frankfurter 100g","","7",".69",""
"31% OFF","","","https://www.carrefouruae.com/mafuae/en/salamis/bavaria-beef-pepperoni/p/1871984","Bavaria Beef Pepperoni","150g - Approx 100 pieces/KG","7",".95","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/crf-beef-pastrami-200g/p/1350790","Carrefour Beef Pastrami, 200g","AED 55.95 per Kilo","11",".19","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/crf-beef-mortadelle-plain-200g/p/1350796","Carrefour Plain Beef Mortadella, 200g","AED 37.45 per Kilo","7",".49","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/herbs-pulses/samr-honey-1kg/p/2251988","Samr Honey 1Kg","","139",".99",""
"29% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken/crf-mortad-roll-chick-pln-250g/p/1450344","Carrefour Plain Chicken Mortadella Rolls 200g","AED 17.96 per Kilo","4",".49","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/crf-mortad-roll-beef-pln-250g/p/1450347","Carrefour Plain Beef Mortadella Roll, 250g","AED 35.16 per Kilo","8",".79","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/chicken/perutnina-chicken-frankfurter-100g/p/1540355?list_name=sponsored_listing","Perutnina Extra Chicken Frankfurter 100g","AED 72.90 per Kilo","7",".29","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/chicken/perutnina-pepe-chc-m-frankfmix250g/p/1282285?list_name=sponsored_listing","Perutnina Ptuj Pepe Mini Chicken Frankfurters Party Mix 250g","","20",".99",""
"51% OFF","","","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/tulkarem-smok-beef-mort-pepper-500g/p/1877611","Tulkarem Smoked Pepper Beef Mortadella 500g","AED 17.38 per Kilo","9",".99","Tod. 12:00 PM","Only 2 left","","","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/tulkarem-smoke-beef-mort-plain-500g/p/1877610","Tulkarem Smoked Plain Beef Mortadella 500g","AED 37.45 per Kilo","9",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/chicken/crf-mortad-roll-chick-pln-500g/p/1450351","Carrefour Plain Chicken Mortadella Roll 500g","","8",".69","Tod. 12:00 PM","Only 1 left","","","https://www.carrefouruae.com/mafuae/en/beef/crf-beef-mortadelle-olives-200g/p/1350794","Carrefour Olives Beef Mortadella, 200g","","7",".49","Tod. 12:00 PM"
"29% OFF","","","https://www.carrefouruae.com/mafuae/en/herbs-pulses/dc-ep-walnuts-half-roasted/p/2239864","Walnut Eco Half Roasted","1KG - Approx 10 pieces/KG","46",".49","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/crf-mortad-roll-beef-oliv-250g/p/1450348","Carrefour Olives Beef Mortadella Roll, 250g","AED 34.76 per Kilo","8",".69","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/beef/crf-mortad-roll-beef-pista-250g/p/1450349","Carrefour Pistachio Beef Mortadella Roll, 250g","AED 34.76 per Kilo","8",".69","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/chicken/crf-chicken-mortadella-200gx2/p/1358704","Carrefour Chicken Mortadella 200g Pack of 2","AED 20.72 per Kilo","8",".29",""
"Ad","","","https://www.carrefouruae.com/mafuae/en/chicken/perutnina-mini-chiken-frank-330g/p/1540351?list_name=sponsored_listing","Perutnina Poli Chicken Frankfurter 330g","AED 80.58 per Kilo","26",".59","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/sea-foods/sb-salmon-fillet-100gr/p/1411937?list_name=sponsored_listing","Santa Bremor Smoked Salmon, 100g","AED 280.90 per Kilo","28",".09","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/sea-foods/carrefour-trout-roe-80g/p/2129747","Carrefour Extra Trout Roe 80g","AED 407.38 per Kilo","32",".59","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/herbs-pulses/dc-ep-pistachio-salted/p/2239861","Pistachios Salted Eco 1Kg","1KG - Pack size 1Kg","39",".99",""
"BESTSELLER","","","https://www.carrefouruae.com/mafuae/en/olives/olives-green-pitted-spanish/p/290354","Pitted Green Olives (Spain)","250g - Pack size 1kg","7",".47","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/sea-foods/carrefour-smoked-salmon-norway-100g/p/2135406","Carrefour Smoked Norway Salmon, 100g","AED 234.90 per Kilo","23",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Only 1 left","","","https://www.carrefouruae.com/mafuae/en/chicken/chicken-breast-w-pepper-cold-100g/p/1411705","Perutnina Slim and Fit Chicken Breast with Pepper 100g","AED 109.90 per Kilo","10",".99","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/sea-foods/salmon-caviar-tin-140g/p/1145440","Santa Bremor Salmon Caviar 140g","AED 606.36 per Kilo","84",".89",""
"Ad","","","https://www.carrefouruae.com/mafuae/en/sea-foods/herring-flt-matjas-org-oil-250g/p/1091052?list_name=sponsored_listing","Santa Bremor Maties Lightly Salted Atlantic Herring in Oil 250g","AED 69.96 per Kilo","17",".49","Tod. 12:00 PM","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/sea-foods/santa-bremor-smoked-caviar-180g/p/1411836?list_name=sponsored_listing","Santa Bremor Smoked Caviar 180g","AED 141.61 per Kilo","25",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/chicken/perutnina-chicken-sausage-400g/p/1267943","Perutnina Party Mix Chicken Sausage 400g","AED 63.22 per Kilo","25",".29","Only 1 left","Tod. 12:00 PM","","","https://www.carrefouruae.com/mafuae/en/smoked-roasted-turkey/lapiara-smoked-turkey-breast-1-fat/p/1859779","La Piara Smoked Turkey Breast 1% Fat","100g - Approx 50 pieces/KG","11",".50",""
