"text-xs","w-full href","rounded-lg src","max-w-[134px] href","text-sm","text-lg","text-2xs","whitespace-pre-wrap","w-full href 2","rounded-lg src 2","max-w-[134px] href 2","text-sm 3","text-xs 3","text-lg 2","text-2xs 3","whitespace-pre-wrap 2","w-full href 3","rounded-lg src 3","max-w-[134px] href 3","text-sm 4","text-lg 3","text-2xs 5","whitespace-pre-wrap 3","whitespace-pre-wrap 4","text-xs 4","w-full href 4","rounded-lg src 4","max-w-[134px] href 4","text-sm 5","text-lg 4","text-2xs 7","whitespace-pre-wrap 5","inline-flex src","text-xs 6","text-xs 7","text-xs 8","inline-flex src 2"
"42% OFF","https://www.carrefouruae.com/mafuae/en/energy-yoghurt/protein-yog-straw-3x150g/p/2296917","https://cdn.mafrservices.com/pim-content/UAE/media/product/2296917/1778004600/2296917_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/energy-yoghurt/protein-yog-straw-3x150g/p/2296917","Arla Protein Strawberry Yoghurt Fat Free, 150g, Pack of 3","11",".49","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/eurogourmet-red-cheddar/p/2245139","https://cdn.mafrservices.com/pim-content/UAE/media/product/2245139/1756209004/2245139_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/eurogourmet-red-cheddar/p/2245139","Euro Gourmet  Red Cheddar Cheese","250g - Approx 4 pieces/KG","17",".62","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/flavoured-yoghurt/activia-yoghurt120-g-x-6-2/p/1485274","https://cdn.mafrservices.com/pim-content/UAE/media/product/1485274/1738839603/1485274_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/flavoured-yoghurt/activia-yoghurt120-g-x-6-2/p/1485274","Activia Full Fat Peach Apricot Stirred Yogurt, 120g, Pack of 8","15",".29","Only 3 left","Tom. 10:00 AM","42% OFF","https://www.carrefouruae.com/mafuae/en/energy-yoghurt/protein-yog-blueberry3x150g/p/2296946","https://cdn.mafrservices.com/pim-content/UAE/media/product/2296946/1778004600/2296946_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/energy-yoghurt/protein-yog-blueberry3x150g/p/2296946","Arla Protein Blueberry Yoghurt Fat Free, 150g, Pack of 3","11",".49","Tom. 10:00 AM","","","","",""
"LOW PRICES","https://www.carrefouruae.com/mafuae/en/full-fat-yogurt/almarai-ff-yogurt-500g/p/1225841","https://cdn.mafrservices.com/pim-content/UAE/media/product/1225841/1756703404/1225841_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/full-fat-yogurt/almarai-ff-yogurt-500g/p/1225841","Almarai Full Fat Fresh Yoghurt, 500g","4",".49","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/labneh/fresh-labneh-plain/p/153263","https://cdn.mafrservices.com/pim-content/UAE/media/product/153263/1764041904/153263_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/labneh/fresh-labneh-plain/p/153263","Fresh Plain Labneh","AED 8.98 per Kilo","8",".71","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/drinking-kefir/alrawabi-kefir-1ltr/p/2264604","https://cdn.mafrservices.com/pim-content/UAE/media/product/2264604/1763802604/2264604_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/drinking-kefir/alrawabi-kefir-1ltr/p/2264604","Al Rawabi Lactose Free Probiotic Kefir, 1L","14",".99","Only 1 left","Tom. 10:00 AM","27% OFF","https://www.carrefouruae.com/mafuae/en/cheese-pate-fondue/moni-cow-kashkaval/p/1859783","https://cdn.mafrservices.com/sys-master-root/h05/ha5/28331896471582/1859783_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/cheese-pate-fondue/moni-cow-kashkaval/p/1859783","Moni Cow Kashkaval","8",".00","Only 1 left","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","350g - Approx 36 pieces/KG","AED 29.98 per Liter","100g - Approx 50 pieces/KG",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/uht-milk-full-fat/lacnor-uht-milk-full-fat-1lx4/p/104222","Lacnor UHT Full Fat Milk, 1L Pack of 4","17",".49","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/flavoured-yoghurt/almarai-yoghurt-strawberry-150g/p/1491714","Almarai Strawberry Flavoured Fresh Yoghurt, 150g","AED 4.37 per Liter","1",".89","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/shredded-grated-cheese/crf-mozzarella-shredded-uae-200g/p/2166020","Carrefour Shredded Mozzarella Cheese, 200g","11",".99","Tom. 10:00 AM","Tom. 10:00 AM","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/mera-colby-jack-loaf-cheese/p/2135576","Mera Colby Jack Cheese","11",".62","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","AED 12.60 per Kilo","AED 59.95 per Kilo","150g - Approx 7 pieces/KG","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png"
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/full-fat-milk/al-ain-milk-full-cream-1l/p/391446","Al Ain Farms Full Cream Fresh Milk, 1L","6",".89","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/spread-processed-cheese/kiri-cheese-portion-6p-100g/p/11756","Kiri Spreadable Cream Cheese Squares 6 Portion, 100g","AED 58.25 per Kilo","6",".99","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/mera-white-mild-cheddar-loaf/p/2165794","Mera White Mild Cheddar","9",".67","Tom. 10:00 AM","Tom. 10:00 AM","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/greek-yogurt/crf-greek-yogurt-0-plain-400g/p/1775683","Carrefour Natural Authentic Greek Yogurt 400g","16",".29","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","150g - Approx 7 pieces/KG","AED 40.72 per Kilo","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png"
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/spread-processed-cheese/almarai-cheese-slices-cheddar-400g/p/1201866","Almarai Cheddar Cheese Slices, 400g","13",".99","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/mozzarella-whey-cheese/crf-cheese-mozarella-125g/p/507060","Carrefour Mozzarella Soft Cheese 125g","AED 34.98 per Kilo","12",".49","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/mozzarella-whey-cheese/crf-cheese-ricotta-250g/p/1009934","Carrefour Ricotta Cheese 250g","14",".79","Tom. 10:00 AM","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/uht-milk-full-fat/lacnor-milk-full-cream-8x180ml/p/138814","Lacnor Full Cream Milk, 180ml Pack of 8","11",".29","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","AED 99.92 per Kilo","AED 59.16 per Kilo","AED 7.84 per Liter",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/full-fat-milk/al-rawabi-milk-ff-1gallon/p/333565","Al Rawabi Full Fat Milk, 1 Gallon","22",".79","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/cooking-cream/almarai-cooking-cream-uht-500ml/p/993308","Almarai Chef's Choice UHT Full Fat Cooking Cream, 500ml","AED 6.02 per Liter","15",".49","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/mera-pepper-jack-loaf/p/2135580","Mera Pepper Jack Cheese","11",".92","Tom. 10:00 AM","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/shredded-grated-cheese/crf-cheddar-red-shredded-250g/p/1334116","Carrefour Shredded Red Cheddar Cheese, 250g","13",".79","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","AED 30.98 per Liter","150g - Approx 7 pieces/KG","AED 55.16 per Kilo",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/soft-cheese-cottage/svalia-cottage-0-5-200g/p/1269489","Svalia Cottage Cheese 0.5 % 200g","18",".29","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/uht-flavored-milk/lacnor-uht-junior-choc-milk-125mlx6/p/428460","Lacnor UHT Junior Chocolate Milk, 125ml Pack of 6","AED 91.45 per Kilo","6",".49","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/flavoured-yoghurt/activia-yoghurt120gx6-2/p/1485271","Activia Low Fat Mixed Berries Stirred Yoghurt 120g Pack of 8","15",".29","Tom. 10:00 AM","Tom. 10:00 AM","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/coconut-milk/alpro-coconut-soya-professional-1l/p/1629610","Alpro Barista Coconut Drink, 1L","18",".49","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","AED 8.65 per Liter","","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png"
"","","","https://www.carrefouruae.com/mafuae/en/greek-yogurt/crf-greek-yogurt-10-plan-150g/p/1775685","Carrefour Authentic Greek Yogurt, 150g","9",".49","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/cheddar-cheese/mera-red-mild-cheddar-loaf/p/2135578","Mera Mild Cheddar","AED 63.27 per Kilo","9",".67","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/western-cheese/skn-brie-ermitage/p/1755569","Ermitage Brie Skin-Pack Cheese","25",".80","Only 2 left","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/egyptian-white-cheese/barameeli-cheese/p/1154297","Baramelli Cheese","19",".65","Only 2 left","","150g - Approx 7 pieces/KG","200g - Pack size Approx. 200-300g","500g - Approx 5 pieces/KG",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/probiotic-yoghurt/activia-kefir-850ml/p/2241785","Activia Kefir Dairy Drink, 850ml","14",".99","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/flavoured-yoghurt/crf-yogurt-vanilla-jar-125gx8/p/346801","Carrefour Vanilla Yogurt, 125g, Pack of 8","AED 17.64 per Liter","27",".79","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/italian-cheese/provolone-mild-kg/p/2178328","Mild Provolone","19",".90","Only 2 left","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/omega-3-eggs/al-jazira-eggs-lutein-x15/p/630818","Al Jazira Lutein Medium Eggs, 15 PCS","15",".29","Tom. 10:00 AM","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","200g - Approx 200 pieces/KG","","",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/flavoured-yoghurt/activia-mix-go-yog-170g-chia-rasp/p/2201500","Activia Mix & Go Chia and Raspberry Yoghurt, 170g","7",".59","Only 4 left","","","https://www.carrefouruae.com/mafuae/en/greek-yogurt/kolios-greek-yogurt-0-1kg/p/1273641","Kolios Natural 0% Fat Greek Yogurt, 1kg","AED 44.65 per Kilo","40",".79","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/egyptian-white-cheese/baramili-cheese-w-chilly/p/71424","Baramili Cheese With Chilly","11",".55","Tom. 10:00 AM","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/egyptian-white-cheese/low-salt-soft-cheese/p/455436","Low Salt Soft Cheese","19",".79","Tom. 10:00 AM","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","350g - Approx 30 pieces/KG","600g - Approx 30 pieces/KG","",""
