"inline-flex src","text-xs","text-xs 3","w-full href","rounded-lg src","max-w-[134px] href","text-sm","text-xs 4","text-lg","text-2xs","text-sm 2","whitespace-pre-wrap","text-xs 5","w-full href 2","rounded-lg src 2","max-w-[134px] href 2","text-sm 3","text-xs 6","text-lg 2","text-2xs 3","text-sm 4","whitespace-pre-wrap 2","text-xs 7","w-full href 3","rounded-lg src 3","max-w-[134px] href 3","text-sm 5","text-xs 8","text-lg 3","text-2xs 5","whitespace-pre-wrap 3","text-xs 9","w-full href 4","rounded-lg src 4","max-w-[134px] href 4","text-sm 7","text-xs 10","text-lg 4","text-2xs 7","whitespace-pre-wrap 4","whitespace-pre-wrap 5","inline-flex src 3"
"https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","LOW PRICES","BESTSELLER","https://www.carrefouruae.com/mafuae/en/cream-chocolate-filled/oreo-original-36-8gx12/p/1939410","https://cdn.mafrservices.com/sys-master-root/h53/h96/63251621445662/1939410_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/cream-chocolate-filled/oreo-original-36-8gx12/p/1939410","Oreo Original Cookies Sandwich Biscuits, 36.8g Pack of 12","AED 20.86 per Kilo","9",".22","AED 12.79","Tom. 12:00 PM","11% OFF","https://www.carrefouruae.com/mafuae/en/packet-noodles/indomie-fried-noodles-80gx10/p/1041810","https://cdn.mafrservices.com/pim-content/UAE/media/product/1041810/1733940603/1041810_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/packet-noodles/indomie-fried-noodles-80gx10/p/1041810","Indomie Special Instant Fried Noodles with Seasoning Powder and Sauce, 80g Pack of 10","AED 19.36 per Kilo","15",".49","AED 17.49","Tom. 12:00 PM","13% OFF","https://www.carrefouruae.com/mafuae/en/packet-noodles/indomie-vegetable-flavour-75gx10/p/1421613","https://cdn.mafrservices.com/pim-content/UAE/media/product/1421613/1748923803/1421613_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/packet-noodles/indomie-vegetable-flavour-75gx10/p/1421613","Indomie Soto Instant Noodles, Vegetable Flavour with Seasoning Powder and Sauce 75g Pack of 10","AED 20.65 per Kilo","15",".49","Tom. 12:00 PM","36% OFF","https://www.carrefouruae.com/mafuae/en/tuna/crf-s-j-tuna-solid-o-oil-170gx3/p/1808615","https://cdn.mafrservices.com/sys-master-root/h84/hc3/62555265138718/1808615_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/tuna/crf-s-j-tuna-solid-o-oil-170gx3/p/1808615","Carrefour Skipjack Tuna Solid in Olive Oil 170g Pack of 3","AED 29.39 per Kilo","14",".99","Tom. 12:00 PM","",""
"","","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/olive-oil/lp-elmerro-spn-ev-olv-oil-750ml/p/1926670","Elmerro Premium Extra Virgin Olive Oil 750ml","AED 49.05 per Liter","36",".79","AED 21.99","Tom. 12:00 PM","32% OFF","","","https://www.carrefouruae.com/mafuae/en/indian-basmati-rice/lp-handi-biryani-rice-5kg/p/1909621","Handi Biryani Rice 5kg","AED 5 per Kilo","24",".99","","Tom. 12:00 PM","Save with SHARE","","","https://www.carrefouruae.com/mafuae/en/foul-medamas-broad-beans/california-g-foul-med-450gx5-1/p/709439","California Garden Premium Fava Beans, 450g Pack of 6","AED 5.55 per Kilo","14",".99","Tom. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/peanut-butter/me-peanut-butter-smooth-380g-sp/p/1609902","Mother Earth Smooth Peanut Butter, 380g","AED 61.82 per Kilo","23",".49","Tom. 12:00 PM","",""
"","BESTSELLER","","","","https://www.carrefouruae.com/mafuae/en/ketchup/heinz-tomato-ketchup-570g/p/982236","Heinz Tomato Ketchup Top Down Squeezy Bottle 570g","AED 19.28 per Kilo","10",".99","AED 15.99","Tom. 12:00 PM","27% OFF","","","https://www.carrefouruae.com/mafuae/en/ketchup/hellmanns-tomato-ketchup-sp-800g/p/2229193","Hellmann's Tomato Ketchup, 800g","AED 12.86 per Kilo","9",".99","AED 25.99","Only 1 left","","","","https://www.carrefouruae.com/mafuae/en/spaghetti/emirates-macaroni-penne-400gx3/p/1493855","Emirates Macaroni Penne 400g, Pack of 3","AED 10.24 per Kilo","11",".99","Tom. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/mixed-nuts/almond-raw-jumbo-400g-vn/p/1859977","Los Pinos Almond  Raw  Jumbo  400g","","18",".99","Tom. 12:00 PM","Tom. 12:00 PM",""
"","","","","","https://www.carrefouruae.com/mafuae/en/lentils/lp-al-zahraa-masoor-red-dal-1kg/p/1938981","Al Zahraa Red Masoor Dal 1kg","AED 33.83 per Kilo","7",".99","AED 31.49","Only 4 left","30% OFF","","","https://www.carrefouruae.com/mafuae/en/korean-food/samyang-carbonara-hotchicken-130x5/p/1598969","Samyang Artifical Spicy Chicken Flavour Ramen, 130g Pack of 5","AED 59.95 per Kilo","21",".99","AED 2.99","Tom. 12:00 PM","46% OFF","","","https://www.carrefouruae.com/mafuae/en/black-pepper/lp-al-zahraa-blck-pepper-whle-200g/p/1939002","Al Zahraa Black Pepper Whole 200g","AED 4 per Kilo","11",".99","Tom. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/chick-peas-hummos/lp-ottima-chick-peas-400g/p/2228851","Ottima Cooked Chick Peas Garbanzos 400g","","1",".60","Tom. 12:00 PM","Tom. 12:00 PM",""
"https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","LOW PRICES","BESTSELLER","","","https://www.carrefouruae.com/mafuae/en/packet-noodles/indomie-special-chicken-75gx10/p/1421612","Indomie Special Chicken Flavour Instant Noodles, 75g Pack of 10","AED 20.65 per Kilo","15",".49","AED 17.49","Tom. 12:00 PM","11% OFF","","","https://www.carrefouruae.com/mafuae/en/crackers/ritz-crackers-original-39-6g/p/1939409","Ritz Original Crackers, 39.6g","AED 32.56 per Kilo","1",".27","AED 1.49","Tom. 12:00 PM","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/plain-white-flour/al-baker-plain-flour-2kg/p/98152","Al Baker All Purpose Flour, 2kg","AED 5.15 per Kilo","10",".29","Tom. 12:00 PM","39% OFF","","","https://www.carrefouruae.com/mafuae/en/gifts-chocolates/lindt-lindor-milk-200g/p/8060","Lindt Lindor Milk Truffles Cornet, 200g","AED 149.95 per Kilo","29",".99","Tom. 12:00 PM","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png"
"","","BESTSELLER","","","https://www.carrefouruae.com/mafuae/en/crackers/ritz-crackers-original-39-6gx12/p/1939408","Ritz Original Crackers, 39.6g Pack of 12","AED 35.35 per Kilo","16",".79","AED 19.99","Tom. 12:00 PM","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/short-cut-pasta/barilla-penne-500gmx2/p/1246941","Barilla Penne Rigate Pasta 500g Pack of 2","AED 23.97 per Kilo","16",".99","","Tom. 12:00 PM","15% OFF","","","https://www.carrefouruae.com/mafuae/en/corn-flakes/lp-savvy-corn-flakes-375g/p/1943498","Savvy Corn Flakes 375g","AED 17.45 per Kilo","8",".99","Tom. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/spices/lp-al-zahraa-coriander-powder-200g/p/1939003","Al Zahraa Coriander Powder 200g","","3",".49","Tom. 12:00 PM","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png"
"","","","","","https://www.carrefouruae.com/mafuae/en/dried-fruits/vn-pistachios-salted-crystal-premiu/p/1868406","Los Pinos Premium Crystal Pistachios","100g - Approx 10 pieces/KG","6",".30","AED 7.90","Tom. 12:00 PM","20% OFF","","","https://www.carrefouruae.com/mafuae/en/indian-basmati-rice/crf-premium-long-gr-bsmt-rice-5kg/p/1520538","Carrefour Premium Long Grain Rice 5Kg","AED 4 per Kilo","19",".99","AED 25.99","Tom. 12:00 PM","23% OFF","","","https://www.carrefouruae.com/mafuae/en/mixed-nuts/mix-dry-fruits-nuts-400g-vn/p/1859985","Los Pinos Mixed Dried Fruits and Nuts 400g","AED 10.41 per Kilo","23",".99","Tom. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/special-shape-pasta/emirates-mac-spaghetti-400gx3/p/1493854","Emirates Macaroni Spaghetti 400g, Pack of 3","","11",".99","Tom. 12:00 PM","",""
"https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","LOW PRICES","","","","https://www.carrefouruae.com/mafuae/en/special-shape-pasta/panzani-pasta-3x400-g/p/1333544","Panzani Assorted Pasta, 400g Pack of 3","AED 8.33 per Kilo","9",".99","AED 14.29","Tom. 12:00 PM","30% OFF","","","https://www.carrefouruae.com/mafuae/en/cream-chocolate-filled/oreo-milk-choco-36-8gx12/p/1939416","Oreo Milk and Chocolate Cookies Sandwich Biscuits, 36.8g Pack of 12","AED 20.86 per Kilo","9",".22","AED 12.79","Tom. 12:00 PM","30% OFF","","","https://www.carrefouruae.com/mafuae/en/tablet-chocolates/lp-venice-coconut-kunafa-130g/p/2243074","Venice Coconut Kunafa Chocolate, 130g","AED 32.37 per Kilo","15",".99","Tom. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/spices/lp-al-zahraa-garam-masala-200g/p/1938994","Al Zahraa Garam Masala 200g","AED 34.95 per Kilo","6",".99","Tom. 12:00 PM","",""
"","","","","","https://www.carrefouruae.com/mafuae/en/gifts-chocolates/lindt-lindor-mix-asst-200g/p/611287","Lindt Lindor Assorted Truffles Cornet, 200g","AED 149.95 per Kilo","29",".99","AED 48.79","Tom. 12:00 PM","39% OFF","","","https://www.carrefouruae.com/mafuae/en/kids-cereals/lp-savvy-choco-balls-375g/p/1943500","Savvy Choco Balls 375g","AED 29.31 per Kilo","10",".99","","Tom. 12:00 PM","BESTSELLER","","","https://www.carrefouruae.com/mafuae/en/australian-egyptian-rice/sunwhite-rice-2kg/p/8998","Sunwhite Calrose Medium Grain White Rice, 2kg","AED 8.75 per Kilo","17",".49","Tom. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/salad-dressings/yamama-roman-300mlx2/p/1367863","Yamama Grenadine Molasses, 300ml Pack of 2","AED 29.98 per Liter","17",".99","Tom. 12:00 PM","",""
"","","","","","https://www.carrefouruae.com/mafuae/en/spices/lp-al-zahraa-cumin-powder-200g/p/1939005","Al Zahraa Cumin Powder 200g","AED 34.95 per Kilo","6",".99","","Tom. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/beans/lp-al-zahraa-red-kidney-beans-1kg/p/1938977","Al Zahraa Red Kidney Beans 1kg","AED 23.99 per Kilo","9",".29","","Tom. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/choco-spreads/lp-chocozella-choco-spread-750g/p/2139313","Chocozella Hazelnut Chocolate Spread 750g","AED 26.60 per Kilo","17",".99","Tom. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/indian-food/lp-banana-chips-150g/p/2110397","Crunnch Banana Chips 150g","","3",".99","Tom. 12:00 PM","",""
