"inline-flex src","text-xs","w-full href","rounded-lg src","max-w-[134px] href","text-sm","text-xs 3","text-lg","text-2xs","whitespace-pre-wrap","w-full href 2","rounded-lg src 2","max-w-[134px] href 2","text-sm 2","text-xs 4","text-lg 2","text-2xs 3","whitespace-pre-wrap 2","w-full href 3","rounded-lg src 3","max-w-[134px] href 3","text-sm 3","text-xs 5","text-lg 3","text-2xs 5","whitespace-pre-wrap 3","text-xs 6","w-full href 4","rounded-lg src 4","max-w-[134px] href 4","text-sm 4","text-lg 4","text-2xs 7","text-2xs 8","text-sm 5","relative src 4","whitespace-pre-wrap 4","whitespace-pre-wrap 5"
"https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","LOW PRICES","https://www.carrefouruae.com/mafuae/en/avocado/mf-rte-avocado-350g/p/1085159","https://cdn.mafrservices.com/pim-content/UAE/media/product/1085159/1769079638/1085159_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/avocado/mf-rte-avocado-350g/p/1085159","Carrefour Ready-to-Eat Hass  Avocados 2-Piece Pack","AED 36.30 per Kilo","10",".89","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/berries/raspberry-pp-ep/p/1016080","https://cdn.mafrservices.com/sys-master-root/he8/hc7/32144564125726/1016080_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/berries/raspberry-pp-ep/p/1016080","Driscoll's Raspberry 125g","AED 95.92 per Kilo","11",".99","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/banana/banana-ep/p/71399","https://cdn.mafrservices.com/sys-master-root/h8c/h06/9533382950942/71399_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/banana/banana-ep/p/71399","Banana","500g - Approx 5 pieces/KG","2",".80","Tom. 10:00 AM","LOW PRICES","https://www.carrefouruae.com/mafuae/en/orange/crf-orange-valencia-3kg/p/2175463","https://cdn.mafrservices.com/pim-content/UAE/media/product/2175463/1724072403/2175463_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/orange/crf-orange-valencia-3kg/p/2175463","Carrefour Valencia Oranges 3Kg","12",".99","AED","AED 14.19","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM",""
"","21% OFF","https://www.carrefouruae.com/mafuae/en/pears/pear-conference/p/1086920","https://cdn.mafrservices.com/pim-content/UAE/media/product/1086920/1761883516/1086920_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/kiwi/kiwi-gold-pp/p/499958","Gold Kiwi 400g","AED 33.98 per Kilo","16",".99","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/pomegranate/pomegranate-seed-red-125-pp/p/925916","https://cdn.mafrservices.com/pim-content/UAE/media/product/925916/1777607744/925916_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/berries/blackberry-pp-ep/p/1596834","Driscoll's Blackberry 125g","500g - Approx 2 pieces/KG","11",".99","Tom. 10:00 AM","https://www.carrefouruae.com/mafuae/en/berries/blackberry-pp-ep/p/1596834","https://cdn.mafrservices.com/pim-content/UAE/media/product/1596834/1743500874/1596834_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/pears/pear-conference/p/1086920","Pear Conference","AED 63.12 per Kilo","9",".50","Tom. 10:00 AM","","https://www.carrefouruae.com/mafuae/en/kiwi/kiwi-gold-pp/p/499958","https://cdn.mafrservices.com/pim-content/UAE/media/product/499958/1775984400/499958_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/pomegranate/pomegranate-seed-red-125-pp/p/925916","Pomegranate Seeds 125g","7",".89","AED","AED 9.99","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM",""
"https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/lemon-lime/lime-yellow/p/446440","Yellow Lime","500g - Approx 25 pieces/KG","3",".90","Only 3 left","","","https://www.carrefouruae.com/mafuae/en/mango/mango-kaleb-al-thour/p/977660","Mango Kaleb Al Thour","500g - Approx 2 pieces/KG","7",".00","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/berries/di-blueberry-sekoya-150g/p/2263105","Fruitist Go Blueberry Import 150g","","8",".99","Tom. 10:00 AM","31% OFF","","","https://www.carrefouruae.com/mafuae/en/berries/di-blueberry-sekoya-125g/p/2263104","Fruitist Blueberry Jumbo Import 125g","7",".99","AED","AED 12.99","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM","Tom. 10:00 AM"
"https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/pears/pear-rosemary/p/446274","Rosemary Pear","500g - Approx 10 pieces/KG","4",".85","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/berries/san-blueberry-125g/p/2233197","Sanlucar Blueberry 125g","500g - Approx 6 pieces/KG","7",".89","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/apple/apple-jazz/p/965050","Apple Jazz","","6",".35","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/berries/uae-strawberry-pp200g/p/1850329","Pure Harvest Strawberries 200g","19",".99","AED","","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM",""
"https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/berries/uae-blackberry-pp/p/1905332","Blackberry UAE 125g","AED 17.78 per Kilo","13",".99","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/grapes/grapes-red-pp-ep/p/1545702","Red Grapes 500g","500g - Approx 6 pieces/KG","8",".89","Only 2 left","","","https://www.carrefouruae.com/mafuae/en/apple/apple-pink-lady/p/446052","Pink Lady Apple","500g - Pack size 500g","6",".45","Tom. 10:00 AM","19% OFF","","","https://www.carrefouruae.com/mafuae/en/grapes/di-grapes-white-seedless/p/70972","White Seedless Grapes Import","17",".50","AED","AED 21.50","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM","Tom. 10:00 AM"
"https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/clementine-mandarin/mandarin-murcott-kg/p/489903","Mandarin Murcott","500g - Approx 10 pieces/KG","4",".95","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/apple/apple-royal-gala/p/638657","Royal Gala Apple","600g - Approx 8 pieces/KG","5",".93","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/banana/banana-chiquita/p/1078988","Chiquita Banana","500g - Approx 8 pieces/KG","4",".45","Tom. 10:00 AM","BESTSELLER","","","https://www.carrefouruae.com/mafuae/en/grapes/di-grapes-red-seedless/p/425343","Red Seedless Grapes Import","17",".50","AED","AED 21.50","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM",""
"https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/berries/mf-uae-blueberry-500-g/p/1630368","Carrefour Blueberries 500g","500g - Approx 2 pieces/KG","29",".99","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/lemon-lime/crf-lemon-bag-2kg/p/2175743","Carrefour Lemons 2Kg","","27",".19","Only 2 left","","","https://www.carrefouruae.com/mafuae/en/avocado/di-avocado-hass-premium/p/1808066","Avocado Hass Premium","","17",".50","Tom. 10:00 AM","19% OFF","","","https://www.carrefouruae.com/mafuae/en/orange/crf-orange-navel-3kg/p/2175462","Carrefour Navel Oranges 3Kg","26",".19","AED","AED 21.50","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Only 3 left","Tom. 10:00 AM"
"","26% OFF","","","https://www.carrefouruae.com/mafuae/en/mango/mango-taimoor/p/977658","Mango Taimoor","300g - Approx 4 pieces/KG","5",".07","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/packed-fruits/pomegranate-arils-125g-bk/p/1191289","Barakat Pomegranate Arils 125g","750g - Approx 4 pieces/KG","9",".29","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/orange/orange-valencia/p/446565","Orange Valencia","","3",".67","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/exotic-fruit/mangosteen-pp/p/70982","Mangosteens 500g","13",".99","AED","AED 18.99","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM",""
"https://cdnprod.mafretailproxy.com/assets/images/Vector_1_640025361d.svg","24% OFF","","","https://www.carrefouruae.com/mafuae/en/apricot-plums/di-plum-red-import/p/1407987","Plum Red Import","500g - Approx 143 pieces/KG","6",".00","Only 3 left","","","https://www.carrefouruae.com/mafuae/en/apple/apple-candine/p/489864","Apple Candine","500g - Approx 2 pieces/KG","4",".50","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/berries/ph-strawberries-kids-bowl-100gm/p/2259396","Bright Bites Pure Harvest Strawberries","AED 23.32 per Kilo","6",".99","Tom. 10:00 AM","Bright Bites","","","https://www.carrefouruae.com/mafuae/en/pineapple/pineapple-gold/p/574851","Gold Pineapple Whole Fruit","13",".99","AED","AED 5.95","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM","Tom. 10:00 AM"
"","26% OFF","","","https://www.carrefouruae.com/mafuae/en/exotic-fruit/coconut-dry/p/71179","Whole Dry Coconut 1 Piece","AED 3.32 per Kilo","1",".99","Only 2 left","","","https://www.carrefouruae.com/mafuae/en/dates/choco-buy-2-get-1-free-kh/p/1551000","Khatt Chocolate Dates With Almond 3-Piece Pack","AED 31.24 per Kilo","24",".99","Tom. 10:00 AM","","","https://www.carrefouruae.com/mafuae/en/melon/di-watermelon-import/p/71056","Watermelon Import","2.50KG - Approx 1 piece/KG","47",".47","Tom. 10:00 AM","","","","https://www.carrefouruae.com/mafuae/en/lemon-lime/di-lemon-premium/p/1552229","Lemon Premium Import","15",".00","AED","AED 33.99","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","Tom. 10:00 AM","Tom. 10:00 AM"
