"text-xs","w-full href","rounded-lg src","max-w-[134px] href","text-sm","text-xs 2","text-lg","text-2xs","text-sm 2","whitespace-pre-wrap","whitespace-pre-wrap 2","text-xs 3","w-full href 2","rounded-lg src 2","max-w-[134px] href 2","text-sm 3","text-xs 4","text-lg 2","text-2xs 3","text-sm 4","whitespace-pre-wrap 3","whitespace-pre-wrap 4","text-xs 5","w-full href 3","rounded-lg src 3","max-w-[134px] href 3","text-sm 5","text-xs 6","text-lg 3","text-2xs 5","text-sm 6","whitespace-pre-wrap 5","text-xs 7","w-full href 4","rounded-lg src 4","max-w-[134px] href 4","text-sm 7","text-xs 8","text-lg 4","text-2xs 7","text-2xs 8","relative src 4","inline-flex src","text-xs 9","inline-flex src 2","w-auto src"
"33% OFF","https://www.carrefouruae.com/mafuae/en/chicken-thigh/saha-fresh-chk-thighs-500g/p/1795216","https://cdn.mafrservices.com/sys-master-root/h0d/h9f/13603365093406/1795216_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-thigh/saha-fresh-chk-thighs-500g/p/1795216","Saha Fresh Chicken Thighs 500g","AED 23.58 per Kilo","11",".79","AED 17.49","Only 3 left","Tod. 12:00 PM","33% OFF","https://www.carrefouruae.com/mafuae/en/chicken-leg/saha-fresh-chicken-whole-legs-500g/p/1795213","https://cdn.mafrservices.com/sys-master-root/h89/hed/13603364896798/1795213_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-leg/saha-fresh-chicken-whole-legs-500g/p/1795213","Saha Fresh Chicken Whole Legs 500g","AED 23.58 per Kilo","11",".79","AED 17.49","Only 2 left","Tod. 12:00 PM","17% OFF","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-stroganoff-dc-/p/733481","https://cdn.mafrservices.com/pim-content/UAE/media/product/733481/1757661018/733481_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-stroganoff-dc-/p/733481","Brazilian Stroganoff Beef","500g - Approx 15 pieces/KG","25",".00","AED 30.00","Tod. 12:00 PM","11% OFF","https://www.carrefouruae.com/mafuae/en/chicken-breast/tanmiah-chicken-breasts-400g/p/2244482","https://cdn.mafrservices.com/pim-content/UAE/media/product/2244482/1749700804/2244482_main.jpg?im=Resize=(300,300)","https://www.carrefouruae.com/mafuae/en/chicken-breast/tanmiah-chicken-breasts-400g/p/2244482","Tanmiah Fresh Boneless Chicken Breasts, 400g","AED 54.47 per Kilo","21",".79","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","",""
"BESTSELLER","","","https://www.carrefouruae.com/mafuae/en/minced-meat/braz-beef-mince-meat-low-fat-dc-/p/909666","Brazilian Low-Fat Beef Mince","500g - Approx 30 pieces/KG","26",".50","AED 16.79","Tod. 12:00 PM","Tod. 12:00 PM","BESTSELLER","","","https://www.carrefouruae.com/mafuae/en/minced-meat/aus-beef-mince-low-fat-dc-/p/909568","Low-Fat Australian Beef Mince","500g - Approx 30 pieces/KG","35",".00","","Tod. 12:00 PM","Tod. 12:00 PM","BESTSELLER","","","https://www.carrefouruae.com/mafuae/en/chicken-leg/al-khazna-drumstick-500g/p/331534","Al Khazna, Chicken, Fresh Chicken Drumsticks, 500g","AED 30.98 per Kilo","15",".49","","","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/minced-meat/aus-beef-mince-meat-dc-/p/909566","Australian Beef Mince","500g - Approx 30 pieces/KG","30",".00","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","8% OFF","",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/chicken/uae-chicken-breast-boneless-tr-/p/1593954","Fresh Chicken Breast","500g - Approx 7 pieces/KG","26",".20","AED 23.79","Tod. 12:00 PM","Tod. 12:00 PM","BESTSELLER","","","https://www.carrefouruae.com/mafuae/en/minced-meat/braz-beef-minced-meat-dc-/p/909662","Brazilian Beef Mince","500g - Approx 1 piece/KG","18",".75","","Tod. 12:00 PM","Tod. 12:00 PM","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-cube-boneless-dc-/p/248375","Brazilian Beef Cubes","500g - Approx 1 piece/KG","18",".75","","","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ain-chicken-fresh-1kg/p/268585","Al Ain Fresh Chicken 1kg","Limited Time Offer","21",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","8% OFF","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png",""
"9% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-leg/al-khazna-whole-legs-500g/p/331531","Al Khazna, Chicken, Fresh Whole Chicken Legs, 500g","AED 29.98 per Kilo","14",".99","AED 16.79","Tod. 12:00 PM","Tod. 12:00 PM","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/chicken-wings/al-khazna-whole-wings-500g/p/331543","Al Khazna, Chicken, Fresh Chicken Wings, 500g","AED 18.58 per Kilo","9",".29","AED 9.89","Only 2 left","Tod. 12:00 PM","6% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-wings/saha-fresh-chicken-wings-900g/p/1795226","Saha Fresh Chicken Wings 900g","AED 15.54 per Kilo","13",".99","AED 19.49","Tod. 12:00 PM","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/chicken-breast/al-rawdah-chicken-breast-b-les-500g/p/12433","Al Rawdah Fresh Boneless Skinless Chicken Breast 500g","AED 52.98 per Kilo","26",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","11% OFF","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png",""
"7% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-thigh/al-khazna-thighs-500g/p/331538","Al Khazna, Chicken, Fresh Chicken Thighs, 500g","AED 29.98 per Kilo","14",".99","AED 16.79","Tod. 12:00 PM","Tod. 12:00 PM","BESTSELLER","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-ain-chicken-fresh-900g/p/268584","Al Ain Fresh Chicken 900g","AED 22.21 per Kilo","19",".99","AED 21.49","Tod. 12:00 PM","Tod. 12:00 PM","","","","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-ribeye-steak-dc-/p/399009","Brazilian Beef Ribeye Steak","500g - Approx 5 pieces/KG","29",".95","","","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-striploin-steak-dc-/p/399008","Brazilian Beef Striploin Steak","500g - Approx 5 pieces/KG","28",".95","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","11% OFF","",""
"56% OFF","","","https://www.carrefouruae.com/mafuae/en/mix-prepared/braz-beef-pepper-burger-100g/p/1476494","Brazilian Beef Burger with Black Pepper 100g Piece","AED 24.36 per Kilo","3",".99","AED 8.99","Tod. 12:00 PM","Tod. 12:00 PM","56% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-chicken-wh-12p-cut-800g/p/1795219","Saha Fresh Whole Chicken Cut 12Pcs 800G","500g - Approx 5 pieces/KG","19",".49","AED 23.79","Tod. 12:00 PM","Tod. 12:00 PM","17% OFF","","","https://www.carrefouruae.com/mafuae/en/mix-prepared/braz-beef-cheese-burger-100g/p/1476495","Brazilian Beef Burger with Cheese 100g Piece","","3",".99","AED 8.99","","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-topside-steak-dc-/p/756239","Brazilian Topside Steak Beef","","25",".00","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","18% OFF","",""
"30% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/saha-fresh-wh-chicken-8pc-cut-900g/p/1795218","Saha Fresh Whole Chicken 900g","AED 23.66 per Kilo","21",".29","AED 25.99","Only 3 left","Tod. 12:00 PM","21% OFF","","","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-minced-dc-/p/2258105","Australian Lamb Mince Import","500g - Approx 2 pieces/KG","31",".50","AED 45.00","Tod. 12:00 PM","Tod. 12:00 PM","17% OFF","","","https://www.carrefouruae.com/mafuae/en/australian-lamb/aus-lamb-cubes-boneless-dc-/p/2288872","Australian Lamb Cube Boneless Import","500g - Approx 2 pieces/KG","33",".50","AED 42.50","Tod. 12:00 PM","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/brazilian-beef/braz-beef-fondue-dc-/p/733482","Brazilian Beef Fondue","500g - Approx 15 pieces/KG","25",".00","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","18% OFF","",""
"14% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/al-khazna-chicken-cut-12pcs/p/1106910","Al Khazna, Chicken, Fresh Whole Chicken Cut into 12 Skinless Pieces, 750g","AED 51.58 per Kilo","20",".99","AED 24.29","Tod. 12:00 PM","Tod. 12:00 PM","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/chicken-breast/al-ajban-chicken-filet-500g/p/1121081","Al Ajban Chicken Filet 500g","1KG - Approx 1 piece/KG","25",".79","AED 28.79","Only 3 left","Tod. 12:00 PM","35% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken/uae-chicken-whole-pkg/p/1593951","Fresh Whole Chicken","","20",".89","AED 32.99","Tod. 12:00 PM","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/chicken-leg/saha-fresh-ch-whole-legs-1000g/p/1795224","Saha Fresh Chicken Whole Legs 1000g","","21",".49","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","10% OFF","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png",""
"LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/chicken/uae-chicken-whole-1-2-kg-/p/1593950","Fresh Whole Chicken 1.2Kg (UAE)","1.20KG - Pack size 1.2Kg","26",".27","AED 17.49","Tod. 12:00 PM","Tod. 12:00 PM","Limited Time Offer","","","https://www.carrefouruae.com/mafuae/en/chicken/uae-chicken-legs-bone-in-tr-/p/1593956","Fresh Chicken Legs (UAE)","500g - Approx 5 pieces/KG","14",".00","AED 25.79","Tod. 12:00 PM","Tod. 12:00 PM","14% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-leg/saha-fresh-chicken-drumsticks-500g/p/1795214","Saha Fresh Chicken Drumstick 500g","AED 29.98 per Kilo","14",".99","","","21% OFF","","","https://www.carrefouruae.com/mafuae/en/whole-chicken/tanmiah-skinless12-cut-900g/p/2244480","Tanmiah Skinless 12 Cut Fresh Whole Chicken, 900g","AED 22.54 per Kilo","20",".29","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","","","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png",""
"38% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-leg/al-ajban-chicken-whole-leg-500g/p/1121082","Al Ajban Chicken Whole Leg 500g","AED 21.58 per Kilo","10",".79","AED 17.49","Tod. 12:00 PM","Tod. 12:00 PM","11% OFF","","","https://www.carrefouruae.com/mafuae/en/chicken-breast/tanmiah-chicken-breasts-800g/p/2244478","Tanmiah Fresh Boneless Chicken Breasts, 800g","AED 54.36 per Kilo","43",".49","AED 48.79","Tod. 12:00 PM","Tod. 12:00 PM","26% OFF","","","https://www.carrefouruae.com/mafuae/en/holand-beef/dutch-veal-striploin-steak-di/p/2288405","Dutch Veal Striploin Steak Import","500g - Approx 2 pieces/KG","47",".50","AED 64.50","","LOW PRICES","","","https://www.carrefouruae.com/mafuae/en/chicken-leg/saha-fresh-chicken-drumsticks-1000g/p/1795225","Saha Fresh Chicken Drumstick 1kg","","27",".99","AED","https://cdnprod.mafretailproxy.com/assets/images/SLA_clock_ic_c134066a55.svg","https://cdnprod.mafretailproxy.com/assets/images/Vector_2_afde1e66b5_672c4d6a64.png","20% OFF","",""
